"Id_accident";"Lettre Conventionnelle Véhicule";"Année";"Lieu Admin Actuel - Territoire Nom";"Type Accident - Libellé (old)";"CNIT";"Catégorie véhicule";"Age véhicule"
"89 624";"B";"2021";"Métropole";"Accident Léger";"M10CTRVP0356115";"VT";"6"
"89 625";"A";"2021";"Métropole";"Accident grave non mortel";"M10PGTVP028E746";"VT";"6"
"89 626";"A";"2021";"Métropole";"Accident grave non mortel";"N/A";"Moto lourde";"22"
"89 627";"A";"2021";"Métropole";"Accident grave non mortel";"M10SETVP003H967";"VT";"5"
"89 628";"A";"2021";"Métropole";"Accident Léger";"VF1CR2V0H494731";"VT";"7"
"89 629";"A";"2021";"Métropole";"Accident Léger";"M10PGTVP056E172";"VT";"3"
"89 629";"B";"2021";"Métropole";"Accident Léger";"M10CTRVP0713112";"VT";"1"
"89 630";"A";"2021";"Métropole";"Accident grave non mortel";"MPL1082F6668";"VT";"17"
"89 630";"B";"2021";"Métropole";"Accident grave non mortel";"L5EPGGTM000T914";"Moto lourde";"2"
"89 632";"A";"2021";"Métropole";"Accident grave non mortel";"M10AUDVP000V639";"VT";"11"
"89 633";"A";"2021";"Métropole";"Accident grave non mortel";"MCT5002PY980";"VT";"12"
"89 633";"B";"2021";"Métropole";"Accident grave non mortel";"L3ETPHM20005003";"Moto lourde";"13"
"89 634";"A";"2021";"Métropole";"Accident grave non mortel";"M10PGTVP081C012";"VT";"1"
"89 634";"B";"2021";"Métropole";"Accident grave non mortel";"N1GJT0CT025T476";"VU";"1"
"89 635";"A";"2021";"Métropole";"Accident Léger";"MPE1012S8635";"VT";"12"
"89 636";"A";"2021";"Métropole";"Accident grave non mortel";"L1ELGJCL000P137";"Cyclo";"4"
"89 636";"B";"2021";"Métropole";"Accident grave non mortel";"N/A";"VT";"24"
"89 637";"A";"2021";"Métropole";"Accident grave non mortel";"M10PGTVP082D472";"VT";"0"
"89 637";"B";"2021";"Métropole";"Accident grave non mortel";"LJS14L30P016";"Moto lourde";"17"
"89 638";"A";"2021";"Métropole";"Accident grave non mortel";"LKW16K409063";"Moto lourde";"18"
"89 639";"A";"2021";"Métropole";"Accident Léger";"VF1CR1GOH398454";"VT";"13"
"89 640";"A";"2021";"Métropole";"Accident grave non mortel";"L3EKWAM2000C382";"Moto lourde";"1"
"89 641";"A";"2021";"Métropole";"Accident mortel";"MRE5222EF558";"VT";"13"
"89 642";"A";"2021";"Métropole";"Accident Léger";"LKW14L305062";"Moto lourde";"18"
